|                | `<program>` | `<top_level_decl_list>` | `<top_level_decl>` | `<data-type>` | `<type_prefix>` | `<fn_decl>` | `<param_list>` | `<param_list1>` | `<param>` | `<const_decl>` | `<var_decl>` | `<type_assign>` | `<expression>` | `<expression1>` | `<term>` | `<term1>` | `<factor>` | `<factor_suffix>` | `<number>` | `<block>` | `<statement_list>` | `<statement_list1>` | `<statement>` | `<assignment>` | `<assignment1>` | `<arg_list>` | `<argument>` | `<argument1>` | `<build_in_fn>` | `<if_statement>` | `<else_statement>` | `<while_statement>` | `<bin_expression>` | `<element_bind>` | `<return_statement>` | `<return_statement1>` |
| `<built_in_string>` |     |    |                      |                    |               |                 |             |                |                 |           |                |              |                 |                | 23              |          | 27        |            | 33                |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| if             |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           | 37                 | 38                  |                |                |                 |              |              |                |                | 55             |                    |                    |                |                  |                 |                   |                     |
| else           |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           | 37                 | 38                  |                |                |                 |              |              |                |                |                | 57                 |                    |                |                  |                 |                   |                     |
| while          |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           |                    |                     |                |                |                 |              |              |                |                |                |                    | 58                 |                |                  |                 |                   |                     |
| `\|`           |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          | 27        |            |                   |            |           |                    |                     |                |                | 47              |              |              |                |                |                |                    |                    |                |                  |                 |                   |                     |
| return         |             |                        |                    |               |                 |             |                |                 |           |                |              |                 |                |                 |          |           |            |                   |            |           | 37                 | 38                  | 45             |                |                 |              |              |                |                |                |                    |                    |                |                  | 63              |                   |                     |
| `<binary_operator>` |     |  |                      |                    |               |                 |             |                |                 |           |                |              |                 |                | 23              |          | 27        |            |                   |            |           |                    |                     |                |                | 47              | 49           | 51           |                |                |                |                    |                    |                |                  | 64              |                   |                     |
| identifier     |             |                        |                    |               |                 |             |                |                 |           |                |              |                 | 20             |                 | 24       | 27        | 28         | 33                |            |           |                    |                     |                |                | 47              | 49           | 51           |                |                |                |                    |                    |                |                  | 64              |                   |                     |
| integer        |             |                        |                    |               |                 |             |                |                 |           |                |              |                 | 20             |                 | 24       | 27        | 28         | 33                | 34         |           |                    |                     |                |                | 47              | 49           | 51           |                |                |                |                    |                    |                |                  | 64              |                   |                     |
| float          |             |                        |                    |               |                 |             |                |                 |           |                |              |                 | 20             |                 | 24       | 27        | 28         | 33                | 35         |           |                    |                     |                |                | 47              | 49           | 51           |                |                |                |                    |                    |                |                  | 64              |                   |                     |
| string_literal |             |                        |                    |               |                 |             |                |                 |           |                |              |                 | 20             |                 | 24       | 27        | 30         | 33                |            |           |                    |                     |                |                | 47              | 49           | 51           |                |                |                |                    |                    |                |                  | 64              |                   |                     |
